loan_id;account_id;date;amount;duration;payments;status
5310;1762;28/04/1995;248148;36;6893;1
5045;347;01/05/1995;187224;24;7801;-1
6929;9472;08/05/1995;36396;12;3033;1
5151;960;24/05/1995;189060;60;3151;1
5212;1256;29/05/1995;71064;36;1974;1
5138;854;30/05/1995;87216;48;1817;1
5713;3629;30/05/1995;158760;60;2646;1
6704;8377;01/06/1995;417060;60;6951;1
6474;7190;06/06/1995;63360;60;1056;1
6676;8159;13/06/1995;29784;24;1241;1
6965;9656;13/06/1995;139536;24;5814;1
6725;8489;23/06/1995;265320;36;7370;1
7166;10630;24/06/1995;198240;24;8260;1
7138;10440;03/07/1995;60000;60;1000;1
5970;4774;09/07/1995;465072;48;9689;1
6157;5650;10/07/1995;98592;24;4108;1
6153;5632;25/07/1995;285600;60;4760;1
5693;3489;01/08/1995;44088;24;1837;1
5922;4580;05/08/1995;20220;12;1685;1
5959;4727;11/08/1995;107640;24;4485;1
5980;4825;18/08/1995;21396;12;1783;1
6764;8776;26/08/1995;33984;48;708;1
5237;1375;29/08/1995;45336;24;1889;1
6726;8492;03/09/1995;85860;60;1431;1
6933;9493;09/09/1995;188688;48;3931;1
5145;915;16/09/1995;309552;48;6449;1
7008;9897;22/09/1995;36168;12;3014;1
7227;10942;02/10/1995;314520;60;5242;1
6600;7861;08/10/1995;21852;36;607;1
6712;8405;14/10/1995;266220;60;4437;1
7057;10093;20/10/1995;231696;36;6436;1
7176;10663;28/10/1995;260028;36;7223;1
7304;11349;29/10/1995;419880;60;6998;1
6362;6738;31/10/1995;37908;12;3159;1
5880;4423;31/10/1995;73836;36;2051;1
6535;7546;02/11/1995;41952;12;3496;1
5449;2343;04/11/1995;99336;24;4139;1
6342;6609;12/11/1995;60156;36;1671;-1
5409;2218;18/11/1995;182040;60;3034;1
6955;9627;22/11/1995;244368;48;5091;1
6985;9731;22/11/1995;113796;36;3161;1
5125;789;23/11/1995;73056;48;1522;1
5805;4081;28/11/1995;137904;24;5746;-1
6185;5774;28/11/1995;31176;24;1299;1
7243;11042;04/12/1995;217152;36;6032;1
6403;6924;05/12/1995;194880;48;4060;1
6578;7765;11/12/1995;27984;12;2332;1
5413;2227;12/12/1995;92976;24;3874;1
6949;9583;12/12/1995;104712;24;4363;1
6545;7606;12/12/1995;191880;60;3198;1
6178;5742;16/12/1995;232560;48;4845;1
5160;1011;18/12/1995;204000;60;3400;1
6785;8899;25/12/1995;125340;60;2089;1
6540;7562;31/12/1995;309600;48;6450;1
6589;7815;01/01/1996;189696;24;7904;1
5900;4503;01/01/1996;135360;48;2820;1
5999;4907;03/01/1996;98832;48;2059;1
6043;5126;11/01/1996;20352;48;424;1
5482;2496;12/01/1996;165120;60;2752;1
7263;11138;19/01/1996;89880;24;3745;1
6013;4995;03/02/1996;128988;36;3583;-1
5750;3804;08/02/1996;63252;12;5271;1
6027;5066;10/02/1996;61656;24;2569;-1
6303;6400;12/02/1996;72408;24;3017;-1
7213;10884;13/02/1996;113544;36;3154;1
6659;8092;20/02/1996;56100;60;935;1
6175;5735;21/02/1996;290700;60;4845;-1
5610;3112;24/02/1996;123216;48;2567;1
5563;2912;29/02/1996;380160;60;6336;1
5989;4852;04/03/1996;213300;36;5925;1
6698;8327;10/03/1996;247728;48;5161;1
5312;1772;13/03/1996;202788;36;5633;1
7189;10728;21/03/1996;154656;48;3222;1
6816;9017;26/03/1996;100224;48;2088;-1
6137;5574;10/04/1996;44628;12;3719;1
5128;808;11/04/1996;215616;48;4492;-1
5470;2456;15/04/1996;200976;48;4187;1
5593;3037;18/04/1996;277884;36;7719;-1
5350;1967;21/04/1996;249312;48;5194;1
6063;5213;25/04/1996;320976;48;6687;-1
6501;7418;29/04/1996;30276;12;2523;-1
5452;2352;29/04/1996;49440;60;824;1
4961;19;29/04/1996;30276;12;2523;-1
4973;67;02/05/1996;165960;24;6915;1
6190;5794;06/05/1996;123600;60;2060;1
6715;8411;06/05/1996;220620;60;3677;1
5892;4462;14/05/1996;66480;24;2770;-1
6550;7614;18/05/1996;320592;48;6679;1
5706;3608;24/05/1996;161496;36;4486;1
5148;940;29/05/1996;284280;60;4738;1
6734;8547;30/05/1996;173016;36;4806;1
6109;5422;03/06/1996;368880;60;6148;1
6961;9645;06/06/1996;176148;36;4893;1
6810;9006;08/06/1996;186384;48;3883;1
5494;2572;13/06/1996;360000;48;7500;1
5311;1766;15/06/1996;30060;60;501;1
5445;2322;29/06/1996;46320;24;1930;1
5301;1698;06/07/1996;141948;36;3943;1
7034;10001;11/07/1996;19044;36;529;1
6751;8680;14/07/1996;85716;36;2381;1
6667;8127;15/07/1996;155880;24;6495;1
6130;5541;18/07/1996;32640;48;680;1
5429;2268;18/07/1996;20196;36;561;1
5725;3679;23/07/1996;444864;48;9268;1
6019;5033;25/07/1996;11400;12;950;1
6421;6985;25/07/1996;96768;36;2688;1
6992;9790;27/07/1996;133968;48;2791;1
5136;846;28/07/1996;187104;24;7796;1
5337;1886;31/07/1996;162468;36;4513;1
5495;2580;02/08/1996;89340;60;1489;1
7013;9928;02/08/1996;89340;60;1489;1
6012;4994;03/08/1996;258444;36;7179;1
6471;7184;04/08/1996;155640;24;6485;1
6296;6358;06/08/1996;270384;48;5633;1
7305;11359;06/08/1996;54024;12;4502;1
6144;5593;09/08/1996;44376;12;3698;1
6283;6289;11/08/1996;85632;48;1784;1
7246;11054;20/08/1996;148920;60;2482;1
5088;544;22/08/1996;91152;24;3798;1
5988;4851;22/08/1996;141648;24;5902;1
5282;1583;24/08/1996;388512;48;8094;-1
5938;4650;25/08/1996;402000;60;6700;1
5606;3084;28/08/1996;253512;36;7042;-1
5385;2143;09/09/1996;71460;36;1985;1
6865;9199;11/09/1996;29448;12;2454;-1
5586;2994;14/09/1996;48744;36;1354;1
6302;6397;16/09/1996;181020;60;3017;1
7194;10762;17/09/1996;68832;36;1912;1
6461;7136;19/09/1996;74124;36;2059;1
6732;8533;19/09/1996;174048;48;3626;1
6613;7926;22/09/1996;84120;24;3505;1
7036;10019;25/09/1996;194940;36;5415;1
5897;4476;25/09/1996;15192;24;633;1
6995;9814;26/09/1996;96168;12;8014;1
5415;2236;26/09/1996;139464;36;3874;-1
7136;10436;28/09/1996;54396;36;1511;1
7271;11186;02/10/1996;392460;60;6541;1
5375;2106;03/10/1996;101520;12;8460;1
5635;3230;04/10/1996;77184;36;2144;1
6817;9024;04/10/1996;70656;48;1472;1
5923;4585;10/10/1996;64656;48;1347;1
5329;1862;16/10/1996;396120;60;6602;1
6644;8039;20/10/1996;93600;24;3900;1
6354;6688;23/10/1996;22968;36;638;1
5082;501;24/10/1996;262980;60;4383;1
6585;7795;29/10/1996;372120;60;6202;1
6921;9422;29/10/1996;86184;12;7182;1
5366;2062;29/10/1996;86184;12;7182;1
5886;4447;31/10/1996;192744;36;5354;1
5741;3754;03/11/1996;68544;24;2856;1
4996;132;06/11/1996;88440;12;7370;1
6015;5001;09/11/1996;110112;24;4588;1
6309;6434;11/11/1996;110136;24;4589;1
6073;5263;12/11/1996;276300;60;4605;1
6006;4948;15/11/1996;359760;60;5996;1
5611;3115;15/11/1996;321180;60;5353;1
6944;9548;15/11/1996;46176;48;962;1
7101;10297;18/11/1996;421008;48;8771;1
6599;7859;19/11/1996;72120;12;6010;1
6940;9510;22/11/1996;228276;36;6341;1
5209;1250;25/11/1996;182640;48;3805;1
5388;2153;28/11/1996;61560;12;5130;1
6011;4981;28/11/1996;179328;48;3736;1
5591;3021;04/12/1996;155616;48;3242;1
7154;10520;05/12/1996;417600;60;6960;1
7130;10411;11/12/1996;123408;24;5142;1
6818;9030;12/12/1996;155616;48;3242;1
5625;3189;15/12/1996;222180;60;3703;-1
6805;8972;21/12/1996;45024;48;938;1
7233;10963;25/12/1996;115812;36;3217;1
7308;11362;27/12/1996;129408;24;5392;1
